PAÍS;UF;ANO;MÊS;ÁREA DE ATRIBUIÇÃO;QTD DE OPERAÇÕES;PRISÕES EM FLAGRANTE;QTD DE VÍTIMAS DE ABUSO SEXUAL INFANTOJUVENIL RESGATADAS;MBAS CUMPRIDOS;PRISÕES PREVENTIVAS CUMPRIDAS;PRISÕES TEMPORÁRIAS CUMPRIDAS
BRASIL;AP;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;AP;2025;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;AP;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;AP;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;AP;2025;Fev;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;BA;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;2;0;0;3;1;0
BRASIL;BA;2025;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;BA;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;BA;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;BA;2025;Fev;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;CE;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;CE;2025;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;CE;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;CE;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;CE;2025;Fev;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;DF;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;DF;2025;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;DF;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;DF;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;DF;2025;Fev;Crimes de alta tecnologia;1;0;0;2;0;0
BRASIL;ES;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;2;1;0;2;0;0
BRASIL;ES;2025;Fev;Fraudes bancárias eletrônicas;0;1;0;0;0;0
BRASIL;ES;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;ES;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;ES;2025;Fev;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;GO;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;2;1;0;2;0;0
BRASIL;GO;2025;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;GO;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;GO;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;GO;2025;Fev;Crimes de alta tecnologia;1;0;0;7;0;0
BRASIL;MA;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;0;1;1;0
BRASIL;MA;2025;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;MA;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;MA;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;MA;2025;Fev;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;MG;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;7;3;0;8;1;0
BRASIL;MG;2025;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;MG;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;MG;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;MG;2025;Fev;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;MS;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;3;0;0;4;0;0
BRASIL;MS;2025;Fev;Fraudes bancárias eletrônicas;1;0;0;1;0;0
BRASIL;MS;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;MS;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;MS;2025;Fev;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;MT;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;4;1;1;4;0;0
BRASIL;MT;2025;Fev;Fraudes bancárias eletrônicas;2;0;0;3;1;0
BRASIL;MT;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;MT;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;MT;2025;Fev;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PA;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;4;2;2;4;1;0
BRASIL;PA;2025;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;PA;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PA;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PA;2025;Fev;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PB;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;0;1;0;0
BRASIL;PB;2025;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;PB;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PB;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PB;2025;Fev;Crimes de alta tecnologia;0;0;0;0;0;0
